OBJECTID,StopCountAug19,StopCountSep20,TARGET_FID_12,GEOID_D,Ar_SqKm,TotalPp,TtlMale,TtlFeml,PropMal,PropFml,Ag17ndr,Ag18_54,Ag55_64,Age65Up,PrpA17U,PrpA65U,TtlPOC,PropPOC,TtlHH,TtlHHNC,PrpHHNC,TtlP_5U,Md_HHnc,Ttl_Und,Ttl_DNW,Prp_UnE,Prp_DNW,Ttl_OcU,Ttl_RnU,Prp_Rnt,Avg_HH_,FreqSep20,FreqAug19,FreqPandemic,StopCountPandemic,Shape_Length,Shape_Area,FreqSep20Daily,FreqAug19Daily,FreqPandemicDaily
11,0,0,11,14000US08005007103,165.7364044,1652,855,797,0.517554479,0.482445521,308,752,354,238,0.186440678,0.144067797,222,0.134382567,585,0,0,1585,108365,271,384,0.196092619,0.277858177,585,39,0.066666667,2.82,,,,0,53890.51268,165736411.7,,,
12,10,10,12,14000US08005080500,1.2635355,3556,1469,2087,0.413104612,0.586895388,431,1683,575,867,0.1212036,0.243813273,863,0.242688414,1687,59,0.034973325,3416,63625,722,1093,0.228336496,0.345667299,1687,611,0.362181387,2.11,1130,2652,2404,10,4665.628661,1263535.512,1130,2652,2404
13,6,6,13,14000US08005083900,1.375106931,2843,1322,1521,0.465001759,0.534998241,456,1371,494,522,0.16039395,0.183608864,769,0.27048892,1430,34,0.023776224,2732,59020,455,633,0.189504373,0.26364015,1430,561,0.392307692,1.99,540,1364,1222,6,5219.861616,1375106.942,540,1364,1222
14,6,0,14,14000US08035013907,6.328578472,5524,2668,2856,0.482983345,0.517016655,1514,2763,682,565,0.274076756,0.102280956,499,0.090333092,1963,36,0.018339277,5224,102930,1098,799,0.26217765,0.19078319,1963,407,0.207335711,2.81,,92,46,6,13331.40218,6328578.255,,92,46
15,0,0,15,14000US08035014202,128.7164612,1856,995,861,0.536099138,0.463900862,349,763,389,355,0.188038793,0.191271552,211,0.113685345,705,9,0.012765957,1813,92404,458,466,0.296824368,0.302009073,705,88,0.124822695,2.62,,,,0,60877.11051,128716455.9,,,
16,10,3,16,14000US08014030800,2.556057453,5782,2859,2923,0.494465583,0.505534417,1675,3075,640,392,0.289692148,0.06779661,821,0.14199239,1943,44,0.022645394,5373,85742,1049,930,0.246765467,0.218772054,1943,221,0.113741637,2.98,135,463,336,9,6415.201695,2556057.416,135,463,336
17,0,0,17,14000US08014031400,23.58045578,5225,2439,2786,0.466794258,0.533205742,1410,1825,548,1442,0.269856459,0.275980861,771,0.147559809,1950,10,0.005128205,4869,117679,724,1885,0.181499123,0.472549511,1950,93,0.047692308,2.68,,,,0,33932.42097,23580456.18,,,
18,0,0,18,14000US08014031300,10.47422886,2791,1360,1431,0.487280545,0.512719455,845,1311,353,282,0.302758868,0.101039054,265,0.094948047,988,0,0,2625,159677,452,441,0.223541048,0.21810089,988,115,0.116396761,2.82,,,,0,21930.08049,10474229.14,,,
19,54,25,19,14000US08014031100,14.98083782,5496,2829,2667,0.514737991,0.485262009,388,4300,351,457,0.070596798,0.083151383,867,0.157751092,3268,191,0.058445532,5316,66863,1425,625,0.27696793,0.121477162,3268,3144,0.962056304,1.64,1656,6594,3939,53,29832.42473,14980837.65,1656,6594,3939
20,30,30,20,14000US08031005002,2.107855558,8199,4330,3869,0.528113185,0.471886815,1947,4628,587,1037,0.237467984,0.126478839,3641,0.444078546,3475,570,0.164028777,7354,41946,1721,1815,0.271794062,0.286639292,3475,2292,0.659568345,2.35,2851,6429,5981,30,7387.161811,2107855.671,2851,6429,5981
21,2,2,21,14000US08035014138,1.883895636,3228,1622,1606,0.502478315,0.497521685,455,1848,465,460,0.140954151,0.142503098,569,0.176270136,1649,29,0.017586416,3023,85043,738,471,0.261424017,0.166843783,1649,1237,0.750151607,1.96,86,212,192,2,6745.652376,1883895.602,86,212,192
22,3,0,22,14000US08035014134,3.174893141,6329,3125,3204,0.493758888,0.506241112,1962,3414,529,424,0.31000158,0.066993206,1025,0.161952915,2049,30,0.014641288,6017,140188,1139,957,0.246110631,0.206784788,2049,299,0.145924841,3.09,,138,69,3,8653.155285,3174893.079,,138,69
23,6,2,23,14000US08035014132,3.306566954,6482,2876,3606,0.443690219,0.556309781,2130,3113,768,471,0.328602283,0.072662758,674,0.103980253,2051,0,0,6133,164219,1019,1020,0.223857645,0.224077329,2051,116,0.056557777,3.16,86,384,278,6,7946.450982,3306567.001,86,384,278
24,5,0,24,14000US08035014140,3.91599822,5260,2590,2670,0.492395437,0.507604563,1468,2540,758,494,0.279087452,0.09391635,591,0.112357414,1772,9,0.005079007,5034,161618,1100,823,0.274519591,0.205390567,1772,30,0.016930023,2.97,,230,115,5,9936.297848,3915998.201,,230,115
25,0,0,25,14000US08035013910,5.163401127,7315,3607,3708,0.493096377,0.506903623,2340,3354,961,660,0.319890636,0.090225564,698,0.095420369,2292,41,0.017888307,7000,138771,1089,1270,0.210516142,0.245505509,2292,139,0.060645724,3.19,,,,0,12172.37605,5163401.169,,,
26,0,0,26,14000US08123002013,7.976841927,3143,1574,1569,0.500795418,0.499204582,1072,1559,265,247,0.341075406,0.078587337,226,0.071905822,996,4,0.004016064,2848,106143,461,447,0.214318921,0.207810321,996,55,0.055220884,3.16,,,,0,13151.70844,7976841.778,,,
27,0,0,27,14000US08001061200,10.75932026,2342,1225,1117,0.523057216,0.476942784,677,1273,233,159,0.289069172,0.067890692,261,0.111443211,679,0,0,2117,132250,304,281,0.179988159,0.166370634,679,57,0.083946981,3.45,,,,0,15562.50768,10759319.95,,,
28,8,8,28,14000US08001008543,6.965652466,9171,4704,4467,0.512921165,0.487078835,2859,4407,746,1159,0.311743539,0.126376622,911,0.09933486,2823,95,0.033652143,8485,78482,1405,2164,0.212043465,0.326592212,2823,714,0.252922423,3.18,240,378,339,8,11210.31548,6965652.697,240,378,339
29,14,14,29,14000US08001008542,9.648903847,9069,4818,4251,0.531260337,0.468739663,2929,4895,762,483,0.322968354,0.053258353,1451,0.159995589,2709,40,0.014765596,8393,97245,1395,1170,0.216446858,0.181536074,2709,520,0.19195275,3.35,420,668,596,14,14082.97044,9648903.837,420,668,596
30,29,29,30,14000US08031015400,2.664403439,4945,2247,2698,0.454398382,0.545601618,872,3061,414,598,0.176339737,0.120930233,504,0.101921132,1706,61,0.035756155,4762,70208,1212,1211,0.296332518,0.29608802,1706,528,0.309495897,2.44,2522,5430,5351,29,8869.825426,2664403.532,2522,5430,5351
31,27,21,31,14000US08031004405,5.968644142,8902,3846,5056,0.432037744,0.567962256,1866,4863,949,1224,0.209615817,0.137497192,2020,0.2269153,3964,479,0.120837538,8450,84866,2078,1660,0.28817085,0.230203855,3964,1783,0.449798184,2.24,1881,4416,4092,27,10768.89314,5968644.051,1881,4416,4092
32,26,24,32,14000US08005004952,1.333882928,2897,1672,1225,0.577148775,0.422851225,248,2317,196,136,0.085605799,0.046945116,902,0.311356576,1646,96,0.058323208,2796,50909,603,452,0.222345133,0.166666667,1646,1607,0.976306197,1.76,2027,5020,4499,27,8177.295392,1333882.966,2027,5020,4499
33,16,15,33,14000US08013060600,39.12298965,6054,3089,2965,0.510241163,0.489758837,1239,3676,669,470,0.204658077,0.077634622,1622,0.267922035,2348,17,0.007240204,5769,111696,1399,892,0.282512116,0.180129241,2348,1577,0.671635434,2.58,658,1750,1546,16,31389.68681,39122991.55,658,1750,1546
34,13,4,34,14000US08013012608,0.895053864,2538,1328,1210,0.523246651,0.476753349,320,1703,246,269,0.12608353,0.105988968,381,0.150118203,1015,37,0.036453202,2450,80852,892,385,0.398036591,0.171798304,1015,531,0.523152709,2.4,316,1120,760,13,4016.993145,895053.8738,316,1120,760
35,13,11,35,14000US08013013213,20.56942177,9475,4708,4767,0.496886544,0.503113456,2934,4930,889,722,0.309656992,0.076200528,1446,0.152612137,3352,62,0.01849642,9090,91341,2214,1728,0.318194884,0.248347226,3352,1489,0.444212411,2.83,405,1286,1047,13,25488.70873,20569421.84,405,1286,1047
36,15,9,36,14000US08013012607,0.717726469,5493,2872,2621,0.52284726,0.47715274,120,4879,103,391,0.021845986,0.071181504,1025,0.186601129,2939,684,0.232732222,5424,24793,3145,1052,0.584246703,0.195430058,2939,2670,0.908472269,1.86,879,2736,2189,15,3374.295597,717726.4946,879,2736,2189
37,11,11,37,14000US08013013505,1.292426705,4277,2219,2058,0.518821604,0.481178396,1254,2202,233,588,0.293196166,0.137479542,473,0.110591536,1633,321,0.196570729,3967,44479,635,1042,0.205368693,0.336998706,1633,1202,0.736068585,2.62,354,1038,860,11,4840.256876,1292426.76,354,1038,860
38,35,33,38,14000US08013060800,21.64192963,8233,4161,4072,0.505405077,0.494594923,1769,4878,748,838,0.214866999,0.101785497,788,0.095712377,3446,84,0.024376088,7776,54393,2339,1517,0.34432504,0.223318122,3446,1596,0.463145676,2.39,1592,4671,3489,34,38614.39948,21641930.41,1592,4671,3489
39,8,7,39,14000US08013012508,3.561165333,3225,1706,1519,0.528992248,0.471007752,492,2250,202,281,0.15255814,0.087131783,394,0.122170543,1333,62,0.046511628,3094,76397,1143,409,0.406327764,0.145396374,1333,769,0.576894224,2.42,789,2416,1982,7,9126.553202,3561165.283,789,2416,1982
40,24,15,40,14000US08013012509,1.814573765,3381,1541,1840,0.455782313,0.544217687,837,1431,464,649,0.247559894,0.191955043,510,0.150842946,1311,83,0.06331045,3160,102450,755,890,0.28849828,0.340084066,1311,328,0.250190694,2.54,3023,7733,6930,24,5776.48311,1814573.8,3023,7733,6930
41,13,13,41,14000US08013012511,1.941645026,6343,3318,3025,0.523096327,0.476903673,393,4648,307,995,0.061958064,0.156865836,1147,0.180829261,1803,247,0.136993899,6216,53870,2786,2254,0.461181924,0.373117034,1803,1170,0.648918469,1.93,1174,3012,2467,13,6957.223448,1941645.014,1174,3012,2467
42,23,7,42,14000US08013012603,1.738891482,3381,1806,1575,0.534161491,0.465838509,602,1817,337,625,0.17805383,0.184856551,319,0.094350784,1388,44,0.031700288,3211,108141,1102,702,0.385989492,0.245884413,1388,436,0.314121037,2.44,616,2011,1579,24,5356.162645,1738891.516,616,2011,1579
43,26,22,43,14000US08013012701,50.34669113,6209,2834,3375,0.456434208,0.543565792,1277,2865,1073,994,0.20566919,0.160090192,318,0.051215977,2371,51,0.021509911,5855,150117,1480,1284,0.294527363,0.255522388,2371,367,0.15478701,2.59,1608,4112,3712,26,30558.37086,50346691.21,1608,4112,3712
44,39,23,44,14000US08013012705,4.503798485,4368,2205,2163,0.504807692,0.495192308,500,2898,575,395,0.114468864,0.090430403,569,0.130265568,2277,23,0.01010101,4259,65963,1195,568,0.30806909,0.146429492,2277,1274,0.559508125,1.92,1772,4164,3866,39,10609.45694,4503798.59,1772,4164,3866
45,10,10,45,14000US08013012708,5.649692535,5040,2632,2408,0.522222222,0.477777778,928,2347,781,984,0.184126984,0.195238095,56,0.011111111,2231,90,0.040340654,4894,106186,1317,1221,0.305497564,0.283228949,2231,449,0.201255043,2.26,784,1540,1554,10,13165.83218,5649692.612,784,1540,1554
46,12,12,46,14000US08013012709,9.853596687,1936,926,1010,0.478305785,0.521694215,431,848,301,356,0.222623967,0.183884298,113,0.058367769,689,7,0.010159652,1845,111042,526,447,0.336102236,0.285623003,689,23,0.033381713,2.81,1032,1948,2006,12,14328.66637,9853597.158,1032,1948,2006
47,18,13,47,14000US08013012903,3.890825748,2425,1203,1222,0.496082474,0.503917526,570,984,447,424,0.235051546,0.174845361,281,0.115876289,931,7,0.007518797,2290,133750,609,525,0.315871369,0.272302905,931,100,0.107411386,2.6,893,2157,1837,18,8083.457315,3890825.757,893,2157,1837
48,12,13,48,14000US08013012904,3.409733534,5497,2644,2853,0.480989631,0.519010369,1052,2400,1039,1006,0.191377115,0.183008914,314,0.057122067,2316,222,0.095854922,5270,90982,1306,1453,0.285090592,0.317179655,2316,505,0.218048359,2.34,956,2125,1841,12,8063.105615,3409733.621,956,2125,1841
49,7,7,49,14000US08013012905,1.330170274,2650,1241,1409,0.468301887,0.531698113,517,1144,470,519,0.19509434,0.195849057,345,0.130188679,1217,106,0.087099425,2494,54290,691,689,0.31843318,0.317511521,1217,510,0.41906327,2.17,774,1850,1571,7,4770.537703,1330170.223,774,1850,1571
50,14,14,50,14000US08013060900,7.760190487,4614,2170,2444,0.470307759,0.529692241,953,2266,863,532,0.206545297,0.115301257,456,0.098829649,1900,82,0.043157895,4267,74286,1116,841,0.29799733,0.224566088,1900,561,0.295263158,2.43,731,2094,1667,14,13322.82616,7760190.679,731,2094,1667
51,16,16,51,14000US08013012907,6.531241417,3522,1783,1739,0.506246451,0.493753549,862,1574,591,495,0.244747303,0.140545145,516,0.146507666,1466,89,0.060709413,3330,81250,678,749,0.245207957,0.270886076,1466,390,0.266030014,2.4,827,2064,1816,16,11350.31714,6531241.45,827,2064,1816
52,30,30,52,14000US08013013003,12.32234669,7102,3651,3451,0.514080541,0.485919459,1694,3290,1095,1023,0.238524359,0.144043931,500,0.070402703,2741,84,0.03064575,6855,103701,1705,1285,0.299438005,0.22567615,2741,643,0.234585918,2.59,2306,5347,4563,30,14606.65778,12322346.3,2306,5347,4563
53,13,7,53,14000US08031004404,1.303168774,6217,3116,3101,0.50120637,0.49879363,1570,4051,322,274,0.252533376,0.044072704,3522,0.566511179,2462,365,0.148253452,5615,37976,1396,1163,0.296768707,0.247236395,2462,1745,0.708773355,2.53,1665,4457,4051,13,4834.483923,1303168.719,1665,4457,4051
54,13,12,54,14000US08031004403,1.464214683,4370,2299,2071,0.526086957,0.473913043,620,3062,350,338,0.14187643,0.077345538,1443,0.33020595,1961,149,0.075981642,4252,59229,1123,739,0.28943299,0.190463918,1961,1141,0.581845997,2.23,2071,5084,4774,13,5636.353699,1464214.671,2071,5084,4774
55,13,13,55,14000US08013013004,2.095612526,3543,1721,1822,0.485746542,0.514253458,1070,1509,645,319,0.302003951,0.090036692,346,0.097657353,1227,0,0,3279,131406,866,493,0.338810642,0.192879499,1227,124,0.101059495,2.89,1066,2576,2380,13,6213.898467,2095612.489,1066,2576,2380
56,20,20,56,14000US08013013005,1.939828396,3235,1609,1626,0.497372488,0.502627512,799,1549,508,379,0.24698609,0.117156105,309,0.095517774,1295,96,0.074131274,2949,86058,755,638,0.299009901,0.252673267,1295,408,0.315057915,2.49,1715,4150,3826,20,6420.920701,1939828.387,1715,4150,3826
57,14,14,57,14000US08013013006,3.229614258,5707,2699,3008,0.472927983,0.527072017,1458,2871,837,541,0.255475732,0.094795865,540,0.094620641,2182,0,0,5540,98611,1531,821,0.341207934,0.182973033,2182,634,0.29055912,2.6,813,1976,1822,14,9485.304344,3229614.307,813,1976,1822
58,9,9,58,14000US08013013205,22.82263374,5471,2771,2700,0.506488759,0.493511241,1239,2347,1129,756,0.226466825,0.138183148,206,0.03765308,2081,0,0,5319,110417,1316,1521,0.29592984,0.342028334,2081,321,0.154252763,2.63,537,1382,1228,9,22598.09617,22822634.24,537,1382,1228
59,3,3,59,14000US08013013207,6.514773369,4532,2245,2287,0.495366284,0.504633716,889,2214,710,719,0.196160635,0.158649603,290,0.063989409,1831,47,0.025669033,4364,86635,1266,952,0.335898116,0.252586893,1831,639,0.348989623,2.47,66,160,146,3,11262.09282,6514773.4,66,160,146
60,30,23,60,14000US08031003701,1.99205029,3532,1606,1926,0.454699887,0.545300113,382,2339,248,563,0.10815402,0.159399773,551,0.156002265,1890,209,0.110582011,3359,67946,851,583,0.27015873,0.185079365,1890,1190,0.62962963,1.8,3405,8312,7282,30,5695.102577,1992050.336,3405,8312,7282
61,12,12,61,14000US08031003702,0.705633521,5250,2862,2388,0.545142857,0.454857143,457,3929,520,344,0.087047619,0.06552381,687,0.130857143,2754,461,0.167392883,5033,53354,1479,695,0.300609756,0.141260163,2754,1877,0.681554103,1.86,1745,4347,3885,12,3593.032539,705633.5158,1745,4347,3885
62,12,13,62,14000US08031003703,0.680956721,3163,1528,1635,0.483085678,0.516914322,425,2337,232,169,0.134366108,0.053430288,480,0.151754663,1656,170,0.102657005,2986,62680,727,399,0.260480115,0.142959513,1656,961,0.58031401,1.91,2607,5116,4647,12,3310.479924,680956.7509,2607,5116,4647
63,36,31,63,14000US08031003800,2.187090635,6989,3313,3676,0.47403062,0.52596938,585,3222,1265,1917,0.083702962,0.274288167,820,0.117327229,4190,433,0.103341289,6800,107574,1474,2192,0.228598015,0.339950372,4190,2024,0.483054893,1.67,3110,8780,7545,34,6202.426647,2187090.544,3110,8780,7545
64,25,18,64,14000US08031003901,3.004756451,4250,2169,2081,0.510352941,0.489647059,591,1842,569,1248,0.139058824,0.293647059,276,0.064941176,2165,65,0.030023095,4044,126964,732,1279,0.197730956,0.345488925,2165,443,0.204618938,1.96,1874,4528,3870,18,7541.776809,3004756.566,1874,4528,3870
65,23,21,65,14000US08031004102,3.98102212,5190,2637,2553,0.508092486,0.491907514,1333,2797,502,558,0.256840077,0.107514451,3040,0.585741811,1527,173,0.113294041,4840,51958,1024,1587,0.254346746,0.394187779,1527,681,0.445972495,3.13,2846,6578,5930,21,8857.366634,3981022.043,2846,6578,5930
66,26,13,66,14000US08031004103,1.898049355,5452,2495,2957,0.457630227,0.542369773,1293,2737,601,821,0.237160675,0.150586941,1762,0.323184153,2193,23,0.010487916,5043,115977,1130,994,0.265882353,0.233882353,2193,164,0.074783402,2.49,1723,4622,4011,26,5553.304967,1898049.406,1723,4622,4011
67,37,21,67,14000US08031004104,1.961844802,4740,2316,2424,0.488607595,0.511392405,955,2773,438,574,0.201476793,0.121097046,2077,0.438185654,1902,74,0.038906414,4411,91337,956,901,0.24805397,0.233783083,1902,270,0.141955836,2.49,2553,7004,5977,36,5662.20835,1961844.745,2553,7004,5977
68,5,4,68,14000US08005082300,1.237524629,4084,1997,2087,0.488981391,0.511018609,1149,2274,261,400,0.281341822,0.097943193,1067,0.261263467,1377,35,0.025417574,3746,61078,701,777,0.22804164,0.252765127,1377,555,0.403050109,2.97,509,1184,1101,5,5737.320252,1237524.612,509,1184,1101
69,5,5,69,14000US08005080800,0.913775563,3691,1944,1747,0.526686535,0.473313465,1308,1809,323,251,0.354375508,0.068003251,1966,0.532646979,1123,76,0.067675868,3131,55219,577,618,0.236572366,0.253382534,1123,635,0.565449688,3.28,609,1274,1168,5,4377.239926,913775.5664,609,1274,1168
70,12,3,70,14000US08005006502,1.941754699,3582,1635,1947,0.456448911,0.543551089,641,1911,638,392,0.178950307,0.109436069,215,0.060022334,1459,47,0.032213845,3353,65816,937,686,0.313273153,0.229354731,1459,624,0.427690199,2.46,160,1076,703,12,7245.907642,1941754.659,160,1076,703
71,23,17,71,14000US08005082600,2.428873777,5374,2750,2624,0.511723111,0.488276889,1308,3054,667,345,0.24339412,0.06419799,3656,0.680312616,2256,238,0.105496454,5068,58545,777,979,0.186063218,0.234434866,2256,1424,0.631205674,2.38,1677,4136,3745,23,7205.219666,2428873.738,1677,4136,3745
72,6,5,72,14000US08005005628,2.566202641,5820,2930,2890,0.503436426,0.496563574,1234,2705,756,1125,0.212027491,0.193298969,226,0.038831615,2273,157,0.069071711,5487,86856,1165,1321,0.248984826,0.282325283,2273,421,0.185217774,2.51,270,737,610,5,6423.340009,2566202.72,270,737,610
73,4,4,73,14000US08005006711,2.590960026,4136,2076,2060,0.501934236,0.498065764,975,1708,753,700,0.23573501,0.169245648,504,0.121856867,1428,8,0.005602241,3880,123162,961,854,0.295783318,0.262850108,1428,93,0.06512605,2.89,212,520,480,4,6439.537362,2590960.068,212,520,480
74,20,5,74,14000US08001009603,2.171247244,6645,3628,3017,0.545974417,0.454025583,1861,3623,615,546,0.280060196,0.082167043,1230,0.18510158,2283,191,0.083661848,6154,46451,1115,1267,0.231712386,0.263300083,2283,1215,0.532194481,2.86,480,2129,1078,13,7244.367999,2171247.182,480,2129,1078
75,22,11,75,14000US08001009604,2.229703665,4452,2126,2326,0.477538185,0.522461815,812,2171,544,925,0.182389937,0.207771788,977,0.219451932,1891,192,0.10153358,4325,51555,698,1438,0.1854903,0.382141908,1891,1019,0.538868324,2.3,409,1950,997,11,7225.715346,2229703.609,409,1950,997
76,39,23,76,14000US08031004304,2.620172977,5866,2705,3161,0.461131947,0.538868053,943,3390,765,768,0.160756904,0.130923969,917,0.156324582,2782,24,0.008626887,5553,100043,1252,1012,0.248956055,0.201232849,2782,756,0.271746945,2.09,2965,7640,6723,39,6540.449341,2620173.018,2965,7640,6723
77,6,6,77,14000US08005005627,2.597167253,4733,2154,2579,0.455102472,0.544897528,1156,1909,697,971,0.244242552,0.205155293,279,0.058947813,1828,13,0.007111597,4516,104911,1076,1037,0.293828509,0.283178591,1828,167,0.091356674,2.58,327,998,827,6,6458.859431,2597167.284,327,998,827
78,10,10,78,14000US08005081300,1.174039602,3153,1404,1749,0.4452902,0.5547098,794,1693,403,263,0.25182366,0.083412623,1234,0.391373295,1063,60,0.056444026,2969,54375,612,544,0.255106294,0.22676115,1063,482,0.453433678,2.97,1073,2338,2239,10,4613.715588,1174039.57,1073,2338,2239
79,9,9,79,14000US08005084000,0.883075237,2644,1377,1267,0.520801815,0.479198185,630,1335,327,352,0.23827534,0.133131619,595,0.225037821,757,13,0.017173052,2527,98672,594,542,0.278873239,0.254460094,757,148,0.195508587,3.49,684,1856,1612,9,4485.468667,883075.2638,684,1856,1612
80,10,10,80,14000US08001009608,1.470902324,3198,1620,1578,0.506566604,0.493433396,432,1861,403,502,0.135084428,0.156973108,654,0.204502814,1340,32,0.023880597,3064,75556,736,703,0.259337562,0.247709655,1340,159,0.118656716,2.38,996,2220,2432,10,5401.470108,1470902.269,996,2220,2432
81,19,6,81,14000US08001009607,2.662993431,5097,2502,2595,0.490876986,0.509123014,1096,2866,602,533,0.215028448,0.104571316,1003,0.196782421,1831,150,0.081922447,4727,46082,1181,1245,0.280922931,0.296146527,1831,983,0.536865101,2.74,196,607,518,19,8045.006994,2662993.458,196,607,518
82,3,0,82,14000US08014030500,5.105895519,5860,2930,2930,0.5,0.5,1712,2676,728,744,0.292150171,0.126962457,1006,0.171672355,2134,184,0.086223055,5493,137603,1002,1094,0.226850804,0.24767942,2134,200,0.093720712,2.75,,126,63,3,9623.968705,5105895.659,,126,63
83,0,0,83,14000US08014031000,3.550696373,5903,2892,3011,0.489920379,0.510079621,1719,2723,620,841,0.29120786,0.142469931,1361,0.230560732,2256,14,0.006205674,5660,109291,1065,952,0.244042163,0.218148488,2256,256,0.113475177,2.62,,,,0,9752.478445,3550696.46,,,
84,8,8,84,14000US08005081200,1.33595562,4788,2432,2356,0.507936508,0.492063492,1246,2582,457,503,0.260233918,0.105054302,2650,0.553467001,1865,147,0.078820375,4361,48262,1005,1002,0.276174773,0.275350371,1865,852,0.456836461,2.57,1330,3374,3017,8,4930.266453,1335955.677,1330,3374,3017
85,9,9,85,14000US08005007500,0.85595721,2424,1214,1210,0.500825083,0.499174917,669,1127,290,338,0.275990099,0.139438944,1048,0.432343234,787,27,0.034307497,2236,59063,381,630,0.209455745,0.346344145,787,359,0.456162643,3.07,893,1956,1819,9,4443.441481,855957.2121,893,1956,1819
86,17,17,86,14000US08005005551,3.117458344,2943,1538,1405,0.52259599,0.47740401,631,1572,492,248,0.214407068,0.084267754,861,0.292558614,1117,67,0.059982095,2742,48528,441,687,0.188703466,0.293966624,1117,541,0.484333035,2.6,1186,2680,2526,17,10918.13003,3117458.318,1186,2680,2526
87,5,5,87,14000US08005005630,2.593903303,6009,3086,2923,0.513562989,0.486437011,1287,2786,1075,861,0.214178732,0.143285072,588,0.09785322,2233,0,0,5657,94229,1389,1077,0.288234073,0.223490351,2233,293,0.131213614,2.67,185,530,445,5,6445.893319,2593903.288,185,530,445
88,13,13,88,14000US08005005552,2.137518167,2803,1516,1287,0.54084909,0.45915091,571,1296,392,544,0.20371031,0.194077774,326,0.11630396,1285,102,0.079377432,2609,32008,471,938,0.20794702,0.414128035,1285,464,0.361089494,2.18,819,1776,1728,13,7073.003626,2137518.104,819,1776,1728
89,22,22,89,14000US08005005553,2.588050127,4098,2140,1958,0.522205954,0.477794046,926,2099,551,522,0.225963885,0.127379209,471,0.114934114,1550,45,0.029032258,3684,56474,745,843,0.23223192,0.262780549,1550,728,0.469677419,2.64,1138,2572,2436,22,8987.943658,2588050.116,1138,2572,2436
